Model Pattern,Provider,Model Type,Input Cost (per 1K tokens),Output Cost (per 1K tokens),Embedding Cost (per 1K tokens),Image Cost (per image),Audio Cost (per minute),Video Cost (per second),Priority,Active,Description
gpt-4.1-2025-04-14,OpenAI,chat,0.002,0.008,,,,,,10,Yes,GPT-4.1 latest model
gpt-4.1-mini-2025-04-14,OpenAI,chat,0.0004,0.0016,,,,,,10,Yes,GPT-4.1 Mini latest model
gpt-4.1-nano-2025-04-14,OpenAI,chat,0.0001,0.0004,,,,,,10,Yes,GPT-4.1 Nano latest model
gpt-4.5-preview-2025-02-27,OpenAI,chat,0.075,0.15,,,,,,10,Yes,GPT-4.5 Preview - highest capability
gpt-4o-2024-11-20,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o November 2024 release
gpt-4o-2024-08-06,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o August 2024 release
gpt-4o-2024-05-13,OpenAI,chat,0.005,0.015,,,,,,10,Yes,GPT-4o May 2024 release
gpt-4o-audio-preview-2025-06-03,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o Audio Preview latest
gpt-4o-audio-preview-2024-12-17,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o Audio Preview December
gpt-4o-audio-preview-2024-10-01,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o Audio Preview October
gpt-4o-realtime-preview-2025-06-03,OpenAI,chat,0.005,0.02,,,,,,10,Yes,GPT-4o Realtime Preview latest
gpt-4o-realtime-preview-2024-12-17,OpenAI,chat,0.005,0.02,,,,,,10,Yes,GPT-4o Realtime Preview December
gpt-4o-realtime-preview-2024-10-01,OpenAI,chat,0.005,0.02,,,,,,10,Yes,GPT-4o Realtime Preview October
gpt-4o-mini-2024-07-18,OpenAI,chat,0.00015,0.0006,,,,,,10,Yes,GPT-4o Mini - cost-efficient
gpt-4o-mini-audio-preview-2024-12-17,OpenAI,chat,0.00015,0.0006,,,,,,10,Yes,GPT-4o Mini Audio Preview
gpt-4o-mini-realtime-preview-2024-12-17,OpenAI,chat,0.0006,0.0024,,,,,,10,Yes,GPT-4o Mini Realtime Preview
o1-2024-12-17,OpenAI,chat,0.015,0.06,,,,,,10,Yes,O1 reasoning model latest
o1-preview-2024-09-12,OpenAI,chat,0.015,0.06,,,,,,10,Yes,O1 Preview September
o1-pro-2025-03-19,OpenAI,chat,0.15,0.6,,,,,,10,Yes,O1 Pro - highest reasoning capability
o3-pro-2025-06-10,OpenAI,chat,0.02,0.08,,,,,,10,Yes,O3 Pro latest
o3-2025-04-16,OpenAI,chat,0.002,0.008,,,,,,10,Yes,O3 latest model
o3-deep-research-2025-06-26,OpenAI,chat,0.01,0.04,,,,,,10,Yes,O3 Deep Research
o4-mini-2025-04-16,OpenAI,chat,0.0011,0.0044,,,,,,10,Yes,O4 Mini latest
o4-mini-deep-research-2025-06-26,OpenAI,chat,0.002,0.008,,,,,,10,Yes,O4 Mini Deep Research
o3-mini-2025-01-31,OpenAI,chat,0.0011,0.0044,,,,,,10,Yes,O3 Mini
o1-mini-2024-09-12,OpenAI,chat,0.0011,0.0044,,,,,,10,Yes,O1 Mini - cost-efficient reasoning
codex-mini-latest,OpenAI,chat,0.0015,0.006,,,,,,10,Yes,Codex Mini for code generation
gpt-4o-mini-search-preview-2025-03-11,OpenAI,chat,0.00015,0.0006,,,,,,10,Yes,GPT-4o Mini with search capabilities
gpt-4o-search-preview-2025-03-11,OpenAI,chat,0.0025,0.01,,,,,,10,Yes,GPT-4o with search capabilities
computer-use-preview-2025-03-11,OpenAI,chat,0.003,0.012,,,,,,10,Yes,Computer use preview model
gpt-image-1,OpenAI,chat,0.005,0,,,,,,10,Yes,GPT Image 1 text model
chatgpt-4o-latest,OpenAI,chat,0.005,0.015,,,,,,10,Yes,ChatGPT 4o latest
gpt-4-turbo-2024-04-09,OpenAI,chat,0.01,0.03,,,,,,10,Yes,GPT-4 Turbo April 2024
gpt-4-0125-preview,OpenAI,chat,0.01,0.03,,,,,,10,Yes,GPT-4 0125 Preview
gpt-4-1106-preview,OpenAI,chat,0.01,0.03,,,,,,10,Yes,GPT-4 1106 Preview
gpt-4-1106-vision-preview,OpenAI,chat,0.01,0.03,,,,,,10,Yes,GPT-4 1106 Vision Preview
gpt-4-0613,OpenAI,chat,0.03,0.06,,,,,,10,Yes,GPT-4 June 2023
gpt-4-0314,OpenAI,chat,0.03,0.06,,,,,,10,Yes,GPT-4 March 2023
gpt-4-32k,OpenAI,chat,0.06,0.12,,,,,,10,Yes,GPT-4 32k context
text-embedding-3-small,OpenAI,embedding,,,0.00002,,,,,10,Yes,Text Embedding 3 Small
text-embedding-3-large,OpenAI,embedding,,,0.00013,,,,,10,Yes,Text Embedding 3 Large
text-embedding-ada-002,OpenAI,embedding,,,0.0001,,,,,10,Yes,Text Embedding Ada 002
dall-e-3,OpenAI,image,,,,0.04,,,,10,Yes,DALL-E 3 Standard 1024x1024
dall-e-3-hd,OpenAI,image,,,,0.08,,,,10,Yes,DALL-E 3 HD 1024x1024
dall-e-2,OpenAI,image,,,,0.02,,,,10,Yes,DALL-E 2 Standard 1024x1024
gpt-4o-mini-tts,OpenAI,audio,,,,,0.015,,,10,Yes,GPT-4o Mini TTS
gpt-4o-transcribe,OpenAI,audio,,,,,0.006,,,10,Yes,GPT-4o Transcribe
gpt-4o-mini-transcribe,OpenAI,audio,,,,,0.003,,,10,Yes,GPT-4o Mini Transcribe
whisper,OpenAI,audio,,,,,0.006,,,10,Yes,Whisper transcription model
